Problem,ms,stepcount,lvl0ccMax,lvl0ccMin,lvl2isolated,lvl1ccMin,lvl0isolated,lvl0order,lvl3size,lvl1isolated,lvl1size,lvl2order,lvl3order,lvl0size,lvl2ccMax,lvl1ccCount,lvl1ccMax,lvl2ccMin,lvl2ccCount,lvl3ccCount,lvl3isolated,lvl1order,lvl3ccMin,lvl2size,lvl3ccMax,lvl0ccCount
mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2990,84,164,2,0,2,0,1186,1151,0,547427,2257,625,1232,2227,17,2194,2,16,577,576,2226,1,564316,49,512
mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3510,85,174,2,0,2,0,1328,1307,0,695454,2534,698,1377,2502,18,2467,2,17,647,646,2501,1,715703,52,578
mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3620,88,169,2,0,2,0,1327,1253,0,694275,2533,697,1340,2499,18,2465,2,18,647,646,2499,1,714485,51,580
mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4480,96,179,2,0,2,0,1477,1410,0,870378,2826,774,1491,2790,19,2754,2,19,721,720,2790,1,894342,54,650
mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4840,93,189,2,0,2,0,1635,1573,0,1078075,3135,855,1650,3097,20,3059,2,20,799,798,3097,1,1106217,57,724
mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4950,99,189,2,0,2,0,1635,1572,0,1078074,3135,855,1650,3097,20,3059,2,20,799,798,3097,1,1106212,57,724
mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,5140,98,189,2,0,2,0,1635,1573,0,1078075,3135,855,1650,3097,20,3059,2,20,799,798,3097,1,1106217,57,724
mixed-f40-p20-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,5720,100,204,2,0,2,0,1802,1806,0,1322569,3461,941,1860,3423,21,3382,2,20,881,880,3422,1,1355383,61,800
mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,140,10,29,2,0,2,0,67,33,0,951,111,39,66,105,4,99,2,4,31,30,105,1,1077,9,20
mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,60,10,34,2,0,2,0,68,40,0,991,112,40,75,108,4,101,2,3,31,30,107,1,1122,10,18
mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,130,10,34,2,0,2,0,68,41,0,991,112,40,75,108,4,101,2,3,31,30,107,1,1123,10,18
mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,730,14,39,2,0,2,0,105,61,0,2653,180,60,105,172,5,164,2,5,49,48,172,1,2937,12,34
mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,700,13,49,2,0,2,0,107,81,0,2789,182,62,127,178,5,168,2,3,49,48,176,1,3087,14,30
freecell-10-1,3517,394,44,2,0,2,0,462,1629,0,1610,627,293,311,295,195,130,2,167,194,193,518,1,8882,100,210
freecell-10-2,927,57,57,2,0,2,0,463,1588,0,1715,628,298,323,324,179,167,2,153,191,190,523,1,8148,108,204
freecell-10-3,907,55,60,2,0,2,0,464,1394,0,2344,704,306,331,408,180,181,2,149,192,191,539,1,16214,115,203
freecell-10-4,4207,1110,66,2,0,2,0,466,1255,0,2481,681,304,348,373,183,184,2,155,193,192,548,1,12743,112,201
freecell-10-5,3367,263,71,2,0,2,0,465,1322,0,2034,672,303,343,360,182,175,2,157,193,192,537,1,12117,111,198
freecell-11-1,4597,1087,44,2,0,2,0,502,1773,0,1678,674,315,331,296,214,133,2,190,214,213,559,1,9613,102,230
freecell-11-2,1137,64,57,2,0,2,0,503,1584,0,1676,664,317,343,316,202,160,2,175,211,210,562,1,7946,107,224
freecell-11-3,2737,62,60,2,0,2,0,504,1502,0,2202,719,324,351,379,203,172,2,171,212,211,576,1,13303,113,223
freecell-11-4,3557,357,63,2,0,2,0,505,1266,0,2123,697,319,360,337,205,170,2,181,213,212,578,1,10418,107,222
freecell-11-5,4297,794,60,2,0,2,0,504,1236,0,1976,701,317,351,335,202,170,2,184,213,212,572,1,11157,105,223
freecell-12-1,4367,1292,44,2,0,2,0,542,1821,0,1650,709,336,351,293,235,130,2,209,234,233,598,1,9150,103,250
freecell-12-2,1247,70,57,2,0,2,0,543,1584,0,1696,704,337,363,316,222,160,2,195,231,230,602,1,7966,107,244
freecell-12-3,3457,166,60,2,0,2,0,544,1502,0,2222,759,344,371,379,223,172,2,191,232,231,616,1,13323,113,243
freecell-12-4,5897,1837,63,2,0,2,0,545,1304,0,2057,732,340,380,334,226,166,2,200,233,232,616,1,9926,108,242
freecell-12-5,20587,3073,60,2,0,2,0,544,1295,0,1945,732,336,371,324,223,167,2,205,233,232,611,1,10433,104,243
freecell-13-1,4307,545,44,2,0,2,0,582,1821,0,1670,749,356,371,293,255,130,2,229,254,253,638,1,9170,103,270
freecell-13-2,1847,80,57,2,0,2,0,583,1553,0,1622,732,355,383,300,248,146,2,217,251,250,640,1,7044,105,264
freecell-13-3,3677,405,60,2,0,2,0,584,1478,0,2141,780,361,391,346,245,166,2,218,253,252,654,1,11182,109,263
freecell-13-4,219537,2068,63,2,0,2,0,585,1273,0,2079,770,359,400,322,246,166,2,225,254,253,656,1,9710,106,262
freecell-13-5,7217,4793,60,2,0,2,0,584,1282,0,1967,767,357,391,321,244,164,2,224,253,252,650,1,9926,105,263
freecell-2-1,908310,11,62,2,0,2,0,138,341,0,2563,359,100,166,339,22,166,2,11,46,45,208,1,18461,55,39
freecell-2-2,137,8,79,2,0,2,0,141,333,0,3856,392,100,181,376,12,217,2,9,46,45,239,1,22578,55,32
freecell-2-3,56260,10,62,2,0,2,0,138,308,0,3236,399,102,172,385,18,191,2,8,46,45,225,1,24575,57,39
freecell-2-4,147,8,94,2,0,2,0,142,354,0,4675,414,101,216,398,10,227,2,9,46,45,245,1,26753,56,25
freecell-2-5,444370,11,68,2,0,2,0,140,374,0,4004,398,101,169,382,14,211,2,9,46,45,237,1,24571,56,37
freecell-3-1,137,14,60,2,0,2,0,186,419,0,8050,519,133,278,461,42,236,2,30,64,63,318,1,38992,70,64
freecell-3-2,147,13,85,2,0,2,0,189,474,0,8552,547,138,305,513,33,273,2,18,62,61,337,1,42227,77,53
freecell-3-3,157,12,75,2,0,2,0,189,514,0,9453,567,139,291,537,29,289,2,16,62,61,345,1,47991,78,58
freecell-3-4,147,12,86,2,0,2,0,190,480,0,10452,591,140,306,561,27,305,2,16,62,61,357,1,50696,79,53
freecell-3-5,147,13,89,2,0,2,0,191,496,0,11533,570,138,317,536,30,308,2,18,62,61,366,1,47750,77,52
freecell-4-1,167,19,75,2,0,2,0,233,594,0,13519,688,173,352,614,55,320,2,38,80,79,428,1,64572,94,80
freecell-4-2,167,18,84,2,0,2,0,230,593,0,8578,667,175,314,611,51,289,2,29,79,78,389,1,56445,97,74
freecell-4-3,177,18,77,2,0,2,0,229,617,0,6527,628,170,282,560,52,260,2,35,79,78,362,1,46871,92,77
freecell-4-4,157,18,73,2,0,2,0,229,662,0,8281,667,177,299,615,48,288,2,27,79,78,382,1,58170,99,79
freecell-4-5,167,19,82,2,0,2,0,228,841,0,5495,620,175,265,568,52,248,2,27,78,77,350,1,46415,98,74
freecell-5-1,237,26,78,2,0,2,0,272,920,0,7061,676,209,315,582,76,267,2,48,96,95,417,1,44370,114,98
freecell-5-2,157,25,81,2,0,2,0,271,742,0,6119,730,211,325,646,75,266,2,43,95,94,414,1,56859,117,96
freecell-5-3,207,25,71,2,0,2,0,267,907,0,5109,638,201,283,536,81,220,2,52,97,96,380,1,41037,105,99
freecell-5-4,207,23,74,2,0,2,0,268,815,0,3872,643,210,272,563,70,240,2,41,95,94,378,1,35322,116,98
freecell-5-5,197,26,76,2,0,2,0,266,1527,0,3512,640,207,260,548,73,218,2,47,97,96,362,1,43283,111,96
freecell-6-1,277,31,56,2,0,2,0,306,1131,0,2840,597,230,266,451,106,183,2,74,115,114,393,1,24087,116,126
freecell-6-2,197,31,81,2,0,2,0,311,679,0,6139,761,232,345,627,95,266,2,68,115,114,454,1,53803,118,116
freecell-6-3,247,30,68,2,0,2,0,306,1063,0,4305,746,238,275,626,92,236,2,61,114,113,418,1,51973,125,120
freecell-6-4,257,29,72,2,0,2,0,308,1276,0,3220,678,243,287,570,84,243,2,55,113,112,409,1,34988,131,119
freecell-6-5,277,33,76,2,0,2,0,306,1637,0,3167,615,230,277,471,97,205,2,73,115,114,397,1,27801,116,116
freecell-7-1,1057,39,56,2,0,2,0,346,1588,0,2753,625,255,285,449,122,190,2,89,134,133,432,1,22324,122,146
freecell-7-2,307,37,73,2,0,2,0,345,1346,0,2736,652,256,286,484,118,196,2,85,133,132,430,1,25651,124,137
freecell-7-3,357,34,63,2,0,2,0,345,1722,0,2637,669,269,280,525,111,209,2,73,131,130,429,1,28609,139,142
freecell-7-4,1647,40,60,2,0,2,0,344,2096,0,2299,605,258,271,437,117,188,2,85,132,131,420,1,19920,127,143
freecell-7-5,887,41,77,2,0,2,0,347,1714,0,3089,618,257,301,436,115,213,2,92,134,133,441,1,20180,124,136
freecell-8-1,3197,67,56,2,0,2,0,386,1528,0,2671,653,279,309,423,148,175,2,116,154,153,469,1,20147,126,166
freecell-8-2,367,40,68,2,0,2,0,384,1909,0,1823,581,269,295,371,140,171,2,106,152,151,449,1,11949,118,159
freecell-8-3,457,43,60,2,0,2,0,384,1450,0,2315,648,271,291,456,134,194,2,97,150,149,460,1,19053,122,163
freecell-8-4,3577,123,63,2,0,2,0,385,1925,0,2372,649,278,299,429,138,191,2,111,153,152,465,1,19986,126,162
freecell-8-5,2697,55,77,2,0,2,0,387,1045,0,3021,658,266,321,436,135,213,2,112,154,153,481,1,19244,113,156
freecell-9-1,2617,52,53,2,0,2,0,425,1683,0,2421,694,300,318,422,168,169,2,137,173,172,503,1,20580,128,187
freecell-9-2,537,49,57,2,0,2,0,423,2049,0,1857,639,295,303,385,155,178,2,128,171,170,486,1,14269,125,184
freecell-9-3,937,48,60,2,0,2,0,424,1402,0,2324,665,287,311,419,160,181,2,124,171,170,499,1,16285,117,183
freecell-9-4,3227,97,65,2,0,2,0,425,1255,0,2135,635,283,334,367,163,175,2,135,172,171,499,1,12223,112,181
freecell-9-5,3317,228,74,2,0,2,0,426,1331,0,2519,672,290,332,414,159,194,2,130,173,172,510,1,16579,118,177
log-x-1,1410,27,7,2,0,2,0,62,30,0,1446,132,36,66,42,26,42,2,26,26,24,132,1,1446,6,26
log-x-2,8220,32,11,2,0,2,0,114,180,0,20775,510,75,255,110,39,110,2,39,39,35,510,1,20775,10,39
log-x-3,753500,56,15,2,0,2,0,190,364,0,78381,970,121,485,210,69,210,2,69,69,65,970,1,78381,14,69
log-x-4,310,59,14,2,0,2,0,234,390,0,73077,1074,147,537,182,87,182,2,87,87,82,1074,1,73077,13,87
